inconsciente	a 1.0 7.375
sabihondo	n 0.0 0.0
nadador	n 0.875 0.5
rubefaciente	n 0.0 0.125
colilla	n 0.0 0.0
cuellirrojo	n 0.0 0.0
conferencias	n 0.0 0.0
coreano	n 0.0 0.625
socorro	n 2.0 0.0
vanuatu	n 0.0 0.0
peaje	n 0.25 1.125
conseja	n 0.0 0.0
unicornio	n 0.0 0.5
lucius	n 0.0 0.0
annaeus	n 0.0 0.0
seneca	n 0.0 0.0
verecundia	n 0.25 0.5
hinchamiento	n 0.125 0.375
alismales	n 0.0 0.0
letonia	n 0.0 0.0
catabolismo	n 0.5 1.125
omaha	n 0.0 0.0
sete	n 0.0 0.0
quedas	n 0.0 0.0
cambray	n 0.125 0.0
silicona	n 0.125 0.0
antera	n 0.0 1.0
sepulturero	n 0.0 0.125
ajarafe	n 0.5 0.0
civeta	n 0.125 0.0
feofitas	n 0.0 0.0
vancouver	n 0.0 0.0
angioplastia	n 0.0 0.125
autocracia	n 0.0 0.75
uniforme	n 0.125 0.25
escolar	n 0.0 1.0
alegoria	n 0.5 0.0
amygdalus	n 0.0 0.0
rumiante	n 0.0 0.125
sensoriales	n 0.0 0.0
bajada	n 0.125 3.0
insolacion	n 1.5 0.5
gatos	n 0.0 0.0
tannenberg	n 0.0 0.0
leiahmaniasis	n 0.0 0.0
cutanea	n 0.0 0.0
oceanites	n 0.0 0.0
hadji	n 0.0 0.0
raja	n 1.375 5.375
embarazo	n 1.875 0.875
shogun	n 0.0 1.25
cosa	n 0.375 2.0
nostra	n 0.0 0.0
boticario	n 0.5 0.0
lusitania	n 0.0 0.0
hablador	n 0.375 1.375
firmes	n 0.25 0.0
pagador	n 0.0 0.25
amauropelta	n 0.0 0.0
analitico	n 0.0 0.0
recamado	n 0.5 0.25
egoista	n 0.125 0.75
portland	n 0.0 0.0
contoneo	n 0.75 2.0
retratista	n 0.125 1.25
arbitrariedad	n 2.75 0.0
babor	n 0.625 0.0
kyoto	n 0.0 0.0
lascar	n 0.375 0.125
actividad	n 0.375 0.0
subversiva	n 0.0 0.0
podadera	n 0.25 0.25
allium	n 0.0 0.0
ampeloprasum	n 0.0 0.0
policiaca	n 0.0 0.0
gordura	n 1.0 1.125
alveolar	n 0.0 0.5
pierre	n 0.0 0.0
fermat	n 0.0 0.0
propiciacion	n 0.75 1.5
sugerencia	n 0.5 0.375
irracionalidad	n 0.0 0.25
abrillantador	n 0.625 0.0
parisiense	n 0.125 0.0
cantante	n 0.75 0.875
melodico	n 0.0 0.0
lek	n 0.0 0.0
optimismo	n 1.875 0.75
vainillina	n 0.125 0.0
funda	n 0.125 0.125
pure	n 0.0 1.0
guisantes	n 0.0 0.0
sensualismo	n 2.25 0.0
filtrado	n 0.0 0.5
remanente	n 1.25 1.625
influencia	n 1.375 0.5
cambridge	n 0.0 0.0
injusticia	n 1.5 1.25
mieloide	n 0.0 0.0
cronica	n 1.125 0.75
lyonia	n 0.0 0.0
oxford	n 0.0 0.25
bajel	n 0.125 0.125
koellia	n 0.0 0.0
caba�a	n 0.0 1.0
porrazo	n 1.375 5.75
carretilla	n 0.0 0.75
yesquero	n 0.0 0.0
portaagujas	n 0.125 0.125
conversor	n 0.375 0.125
mali	n 0.0 0.0
oblata	n 0.125 0.0
lecho	n 0.375 0.5
avo	n 0.0 0.0
artesano	n 2.375 0.0
himenomicetes	n 0.0 0.0
equisetales	n 0.0 0.125
egolatria	n 0.25 0.0
menopon	n 0.5 0.25
hijastra	n 0.0 0.0
anethum	n 0.0 0.0
trogium	n 0.0 0.0
phthirius	n 0.0 1.5
sashimi	n 0.0 0.125
shortstop	n 0.125 0.125
colonizador	n 0.0 0.75
procionidos	n 0.0 0.0
filme	n 1.0 0.75
virginiano	n 0.0 0.0
bractea	n 0.125 0.0
clorada	n 0.0 0.0
heladero	n 0.125 0.0
dirca	n 0.0 0.0
golondrina	n 0.0 0.25
carnosidad	n 0.75 0.0
nosocomio	n 0.5 0.0
platija	n 0.5 1.25
fabiana	n 0.0 0.0
medallista	n 0.125 0.25
ipsilon	n 0.375 0.0
kuwait	n 0.0 0.0
eddington	n 0.0 0.0
tordo	n 0.25 0.0
cabriola	n 0.0 0.875
galleria	n 0.0 0.0
sepelio	n 0.125 0.5
meteoroide	n 1.875 0.0
cupresaceas	n 0.0 0.0
caterva	n 0.125 0.375
torrentera	n 0.0 0.5
pastillero	n 0.125 0.25
posteriores	n 0.0 0.0
diana	n 0.0 0.0
gettysburg	n 0.0 0.0
trasportador	n 0.5 0.125
ictalurus	n 0.0 0.0
pragmatista	n 0.0 0.0
cistaceas	n 0.0 0.0
existencialista	n 0.0 0.625
fundido	n 0.0 0.25
quinteto	n 0.375 0.0
hadrosaurios	n 0.0 0.0
chorrillo	n 0.0 0.375
descubrimiento	n 2.375 0.75
amortecimiento	n 0.125 2.25
forzudo	n 0.125 0.375
pelotillero	n 0.0 0.375
birmania	n 0.0 0.0
botalon	n 1.0 0.0
foque	n 0.0 0.125
lactacion	n 0.25 0.0
relleno	n 0.375 1.125
saturnia	n 0.0 0.0
frontera	n 1.0 1.25
bebe-probeta	n 0.0 0.0
aguila	n 0.375 0.0
microonda	n 0.625 0.0
mioceno	n 0.125 0.0
traidor	n 0.0 1.125
penetracion	n 0.875 0.375
colorado	n 0.0 0.625
springs	n 0.0 0.0
risibilidad	n 0.0 0.25
enchilada	n 0.0 0.125
psicrometro	n 0.0 0.0
paca	n 0.0 0.25
cakile	n 0.0 0.0
fresca	n 0.0 0.875
conductibilidad	n 0.375 0.875
gerontologia	n 0.625 0.0
adosado	n 0.0 0.0
urna	n 0.5 0.125
mdma	n 0.25 0.25
obsequiosidad	n 1.125 1.125
colaboracion	n 2.25 0.375
pedido	n 0.375 0.125
agitacion	n 3.5 11.25
multiplex	n 0.0 0.0
buque-faro	n 0.125 1.5
setaria	n 0.125 0.0
fisicoterapeuta	n 0.0 0.75
monocantidos	n 0.0 0.0
pelotazo	n 0.25 1.375
pontederia	n 0.125 0.0
hungara	n 0.0 0.0
trotador	n 0.0 0.0
librepensamiento	n 0.5 0.25
holografo	n 0.25 0.25
acebo	n 0.125 0.0
orfanato	n 0.25 0.0
champi�on	n 0.0 0.0
invento	n 1.25 0.5
gripe	n 1.875 0.375
anciana	n 0.0 1.0
psitacosis	n 0.625 0.375
organos	n 0.0 0.0
reproductores	n 0.0 0.0
golfan	n 0.0 0.0
matutero	n 0.0 0.75
noticiario	n 0.5 0.125
intoxicante	n 0.5 0.125
roseta	n 0.0 0.0
marattiaceas	n 0.0 0.0
obligacion	n 1.25 1.25
cernido	n 0.375 0.0
conductor	n 0.25 0.75
shakespeare	n 0.0 0.0
importacion	n 0.25 0.75
regicidio	n 0.0 0.25
determinado	n 0.0 0.0
vellosidad	n 0.875 0.875
sendero	n 0.125 0.25
forunculo	n 0.0 1.5
definicion	n 1.125 0.0
quiebra	n 0.5 4.375
operatividad	n 0.5 0.0
crepitacion	n 0.125 1.25
mantidos	n 0.0 0.0
tonada	n 1.125 1.0
modus	n 0.0 0.0
vivendi	n 0.0 0.0
copal	n 0.0 0.25
orina	n 0.125 0.625
lazarino	n 0.0 0.375
sifonoforo	n 0.25 0.0
carmin	n 0.125 0.25
tirol	n 0.0 0.0
boleteria	n 0.0 0.0
siluro	n 0.0 0.0
pisapapeles	n 0.0 0.125
nado	n 0.0 0.0
coloquio	n 0.0 0.5
corazonada	n 0.375 3.375
tango	n 0.375 0.0
mesocricetus	n 0.0 0.0
internamiento	n 1.0 0.0
antideslizante	n 0.0 0.0
inclemencia	n 1.0 4.875
umbelales	n 0.0 0.0
quinteria	n 0.125 0.0
latero	n 0.0 0.0
cinestesia	n 1.25 1.875
exito	n 2.25 0.0
eter	n 0.25 1.0
chopin	n 0.0 0.125
ocupa	n 0.0 0.375
conserva	n 0.0 1.875
tiranos	n 0.0 0.375
miliamperio	n 0.875 0.125
mangante	n 0.375 0.375
sitidos	n 0.0 0.0
thule	n 0.0 0.0
imagenes	n 0.0 0.0
daniel	n 0.0 0.0
boone	n 0.0 0.0
tara	n 0.0 2.625
zulo	n 0.0 0.125
abolicion	n 0.0 1.0
maquinas	n 0.0 0.0
aloe	n 0.125 0.125
chow	n 0.0 0.0
racha	n 0.625 1.75
protuberancia	n 2.5 3.0
suplicacion	n 0.125 0.125
gradacion	n 0.5 0.125
archivador	n 0.0 0.625
poltergeist	n 0.0 0.125
libelo	n 0.0 1.625
ceratitis	n 0.0 0.0
gorgojo	n 0.0 0.125
gerrhonotus	n 0.0 0.125
goteo	n 0.0 0.5
fundy	n 0.0 0.0
uzbeco	n 0.0 0.0
buceros	n 0.0 0.0
margarita	n 0.25 0.5
podilymbus	n 0.0 0.0
sodomia	n 0.25 0.25
cantil	n 0.375 0.75
desanimo	n 0.625 3.875
volumetrico	n 0.0 0.0
bienhechora	n 0.0 0.25
jurisperito	n 0.125 0.0
arrendatario	n 1.375 1.0
tapiridos	n 0.0 0.0
crepusculo	n 1.25 2.75
caledonia	n 0.0 0.0
beriberi	n 0.0 0.5
cuadruplicacion	n 0.0 0.25
ciclotron	n 0.0 0.0
contendiente	n 0.0 0.125
lares	n 0.0 0.5
circunstante	n 0.0 0.25
lacre	n 0.5 0.0
mortandad	n 0.0 1.75
lobanillo	n 0.5 0.0
body	n 0.0 0.0
cuenca	n 0.375 0.0
termalismo	n 0.125 0.5
diosa	n 0.444 0.556
limo	n 0.0 1.875
brasile�o	n 0.0 0.0
desaseo	n 0.875 3.5
ulvaceas	n 0.0 0.0
agnato	n 0.0 0.5
spinosa	n 0.0 0.0
yugular	n 0.125 0.0
inscripcion	n 0.625 0.875
legion	n 0.125 1.5
maquiavelo	n 0.0 0.0
loxostege	n 0.0 0.0
dorsal	n 0.0 0.0
pardo-doradas	n 0.0 0.0
cosido	n 0.25 0.5
vaduz	n 0.0 0.0
olimpo	n 0.0 0.0
dermatologia	n 0.625 0.0
hermann	n 0.0 0.0
ludwig	n 0.0 0.0
ferdinand	n 0.0 0.0
von	n 0.0 0.0
helmholtz	n 0.0 0.0
mamposteria	n 0.0 0.0
quejica	n 0.0 3.125
refriega	n 0.0 2.375
kazajstan	n 0.0 0.0
bulbous	n 0.0 0.0
incertitud	n 0.125 0.375
rapada	n 0.0 0.0
acroclinium	n 0.0 0.0
mustango	n 0.0 0.375
monaguillo	n 0.0 0.0
maniobrabilidad	n 1.0 0.25
verbena	n 0.125 0.375
rhizobium	n 0.0 0.0
nitidez	n 2.375 1.5
carl	n 0.0 0.0
mason	n 0.125 0.0
nave	n 0.125 1.0
bolero	n 0.125 0.875
zocalo	n 0.5 0.625
tertuliano	n 0.5 0.75
namibia	n 0.0 0.0
autosuficiencia	n 0.5 0.5
pagrus	n 0.0 0.0
insalubridad	n 1.125 1.125
tragantada	n 0.25 1.375
lipoma	n 0.0 0.125
activacion	n 1.125 0.75
tendero	n 1.0 2.75
calendula	n 0.0 0.25
freza	n 0.0 0.25
gimlet	n 0.125 0.0
yute	n 0.125 0.0
dinamo	n 0.5 0.0
goniometro	n 0.0 0.0
vandalo	n 0.0 8.0
genetica	n 0.0 0.375
shopping	n 0.125 0.0
abrochador	n 0.125 0.0
espectador	n 1.25 0.0
empanadilla	n 0.125 0.125
verduras	n 0.0 0.0
corcel	n 0.125 0.0
chapuz	n 0.0 0.5
evanescencia	n 0.375 0.375
patriota	n 0.75 0.25
pitanza	n 1.25 0.25
acapulco	n 0.0 0.0
juarez	n 0.0 0.0
componente	n 0.875 0.625
gnaphalium	n 0.0 0.0
agregacion	n 0.375 0.25
cartagena	n 0.0 0.0
acracia	n 0.375 0.125
ablandabrevas	n 0.125 0.0
trepado	n 0.25 0.125
peleador	n 0.25 0.0
maletero	n 0.25 0.0
lija	n 0.0 0.0
autodisciplina	n 0.0 0.0
suni	n 0.0 0.0
llegada	n 1.75 0.125
crol	n 0.25 0.0
angola	n 0.0 0.0
falconidos	n 0.0 0.0
hueco	n 1.5 4.0
miau	n 0.125 2.0
escocesa	n 0.0 0.0
profundidad	n 2.5 1.25
pulmotor	n 0.0 0.0
petrolifera	n 0.0 0.0
oregoniano	n 0.0 0.0
acotacion	n 0.0 0.0
zoologo	n 0.25 0.0
provocacion	n 1.25 3.25
anamorfosis	n 0.375 0.25
peloton	n 0.25 0.125
fusilamiento	n 0.0 0.0
menopausia	n 0.25 0.0
ventrilocuo	n 0.25 0.0
tracto	n 0.0 1.0
homicidio	n 0.0 1.125
desarme	n 0.875 1.0
apodiformes	n 0.0 0.375
eugenismo	n 0.0 0.25
cineasta	n 0.125 0.0
tory	n 0.0 1.0
exculpacion	n 0.625 0.25
uma	n 0.625 0.0
realimentacion	n 0.0 1.0
palaemon	n 0.0 0.0
taka	n 0.0 0.0
machirulo	n 0.625 0.125
espa�ol	n 0.0 0.0
billon	n 0.0 0.625
tripulacion	n 0.0 0.25
horror	n 2.5 6.625
indestructibilidad	n 0.0 0.25
escarchada	n 0.0 0.0
intrascendencia	n 0.375 1.25
azafata	n 0.0 0.25
siluridos	n 0.0 0.0
onceavo	n 0.375 0.0
remolino	n 0.875 2.0
podsolico	n 0.0 0.0
callicebus	n 0.0 0.0
funcionario	n 1.5 0.125
naemorhedus	n 0.0 0.0
turbante	n 0.0 0.25
sinapsis	n 0.0 0.0
blastomicosis	n 0.0 0.25
yenisei	n 0.0 0.0
margarete	n 0.0 0.0
gertrud	n 0.0 0.0
zelle	n 0.0 0.0
chiococca	n 0.0 0.0
tetragonurus	n 0.0 0.0
cynocephalus	n 0.0 0.0
tortuga	n 1.25 0.25
carey	n 0.0 0.125
reconcomio	n 1.75 0.0
ensilado	n 0.125 0.375
oblicuo	n 0.0 0.0
dusicyon	n 0.0 0.0
yodo	n 0.125 0.5
escaridos	n 0.0 0.0
cartilaginoso	n 0.0 0.0
gallo	n 0.0 0.5
reguladora	n 0.0 0.0
berza	n 0.0 0.5
paridad	n 0.125 0.125
aguamiel	n 0.0 0.25
ermita	n 0.125 0.0
bobales	n 0.0 0.75
suplicio	n 0.125 4.75
toma	n 0.25 1.75
daca	n 0.0 0.0
malversacion	n 0.0 1.875
consulta	n 0.5 0.0
reblandecimiento	n 0.0 0.125
segmentacion	n 0.5 1.5
reencarnacion	n 0.5 0.25
motacilla	n 0.0 0.0
repercusion	n 1.125 0.625
finalidad	n 1.875 2.375
bit	n 0.0 0.125
ventajismo	n 0.0 1.0
subtilisina	n 0.0 0.375
precesion	n 0.375 0.0
rico	n 0.0 0.25
santidad	n 2.125 0.375
aduanas	n 0.0 0.25
firmante	n 0.375 0.75
arsenal	n 0.625 0.5
belamcanda	n 0.0 0.0
introversion	n 0.0 0.25
fugacidad	n 0.25 0.25
conradina	n 0.0 0.0
creencia	n 0.125 0.125
erronea	n 0.0 0.0
amateur	n 0.0 0.625
agenda	n 0.0 0.375
albardilla	n 0.375 0.0
aroma	n 2.375 0.875
solariega	n 0.0 0.0
playboy	n 0.25 0.0
gamada	n 0.0 0.0
platylobium	n 0.0 0.0
lomillo	n 0.0 0.0
teletipo	n 0.0 1.25
marta	n 0.0 0.375
respiratorio	n 0.0 0.0
pardal	n 0.0 0.375
individualismo	n 1.125 0.75
truhaneria	n 1.0 7.875
montserrat	n 0.0 0.0
paliza	n 0.0 2.625
selecta	n 0.0 0.0
rembrandt	n 0.0 0.0
rijn	n 0.0 0.0
compartimiento	n 0.0 0.125
candiles	n 0.0 0.0
terapeutica	n 0.125 0.0
yemenita	n 0.0 0.0
cervical	n 0.0 0.0
fanfarronada	n 0.625 0.625
rollo	n 0.25 0.625
rellena	n 0.0 0.0
voluptuoso	n 0.625 1.0
islandes	n 0.0 0.0
picaflor	n 1.0 0.0
gasista	n 0.0 0.125
opulencia	n 1.875 0.75
micropunto	n 0.25 0.0
chicle	n 0.0 0.375
segadora	n 0.0 0.25
cephalopterus	n 0.0 0.0
sarcodes	n 0.0 0.0
runa	n 0.0 0.625
bioquimica	n 0.125 0.0
ipomea	n 0.0 0.0
solera	n 0.125 0.0
quechua	n 0.0 0.0
billonesimo	n 0.0 0.25
infamador	n 3.5 0.0
cubiertos	n 0.0 1.25
at�mico	n 0.0 0.0
incriminacion	n 0.0 1.75
blasfemia	n 1.0 0.0
cebo	n 0.625 0.0
contralto	n 0.25 0.375
furcia	n 0.0 4.0
aneurisma	n 0.0 0.75
transbordo	n 0.0 0.125
triteista	n 0.375 0.0
direccional	n 0.0 0.0
plicatoperipatus	n 0.0 0.0
niobio	n 1.0 1.0
lagothrix	n 0.0 0.0
squalus	n 0.0 0.0
chalupa	n 0.75 1.75
bemol	n 0.0 0.5
gineceo	n 0.125 0.0
entarimado	n 1.625 2.375
donante	n 0.0 0.75
barreminas	n 0.125 0.0
perversidad	n 2.125 1.0
quietista	n 0.0 0.0
etanol	n 0.0 0.125
areolar	n 0.0 0.0
torbellino	n 0.875 1.125
catacaldos	n 0.0 0.25
cagatintas	n 0.0 0.5
tonelero	n 0.125 0.0
birimbao	n 0.0 0.0
codo	n 0.0 1.375
spitsbergen	n 0.0 0.0
tiritera	n 0.375 0.625
craneal	n 0.0 0.0
sagitada	n 0.0 0.0
lepra	n 0.0 0.625
chateura	n 0.0 0.0
prioridad	n 0.0 2.0
blandura	n 0.0 0.625
pecado	n 1.5 0.5
morbilidad	n 0.375 1.125
chionanthus	n 0.0 0.0
reiformes	n 0.0 0.375
protones	n 0.0 0.0
atracador	n 0.375 1.0
significado	n 1.75 0.375
trastera	n 0.0 0.0
accesorio	n 0.5 1.25
jalea	n 0.25 0.0
pensionista	n 0.25 0.0
atardecer	n 1.0 0.0
desertor	n 0.0 1.125
recordacion	n 0.5 0.25
percusion	n 0.25 0.25
richter	n 0.0 0.0
sinsonte	n 0.125 0.375
okapia	n 0.0 0.0
borriquete	n 0.0 0.0
lithophragma	n 0.0 0.0
monmouth	n 0.0 0.0
court	n 0.0 0.0
house	n 0.0 0.0
albaricoquero	n 0.125 0.0
cretazico	n 0.125 0.0
apio	n 0.625 0.375
reversibilidad	n 0.25 0.25
obstaculizacion	n 0.375 1.0
starter	n 0.0 0.25
chelyabinsk	n 0.0 0.0
banqueta	n 0.0 0.5
suplantacion	n 0.375 0.0
ictericia	n 0.5 1.0
rectangulo	n 0.5 0.125
calochortus	n 0.0 0.0
huckleberry	n 0.0 0.0
finn	n 0.0 0.0
u�a	n 0.375 0.125
efeso	n 0.0 0.0
exclusividad	n 0.375 0.0
racionalizacion	n 0.25 1.25
taximetro	n 0.0 0.25
o.t.a.n.	n 0.0 0.25
franqueza	n 7.75 1.5
matricidio	n 0.0 0.0
partija	n 0.5 1.375
apadrinamiento	n 0.0 0.0
genitales	n 0.0 1.125
masculinos	n 0.0 0.0
tungsteno	n 0.125 0.5
dinamarca	n 0.0 0.0
queremis	n 0.0 0.0
repelon	n 0.0 0.5
tablon	n 0.125 0.25
externo	n 0.0 0.0
inconsecuencia	n 0.25 0.75
laguna	n 0.25 1.75
helechos	n 0.0 0.0
consolador	n 0.0 0.0
lobelia	n 0.0 0.125
sutura	n 0.0 0.5
internasal	n 0.0 0.0
manicura	n 0.375 0.0
octogesimo	n 0.5 0.125
estrangulador	n 0.375 3.875
jubon	n 0.0 0.25
malocostraceo	n 0.0 0.0
biftec	n 0.0 0.125
cerezo	n 0.0 0.125
quema	n 0.0 1.875
parthenium	n 0.0 0.0
sobreimpresion	n 0.5 0.0
grand	n 0.0 0.0
marnier	n 0.0 0.0
anulo	n 0.0 0.25
vaciado	n 0.75 2.25
palatosquisis	n 0.0 0.0
lambdoidea	n 0.0 0.0
funicular	n 0.25 0.25
stachys	n 0.0 0.0
cantoral	n 0.0 0.0
secoya	n 0.375 0.0
chaque	n 0.75 1.0
kunzita	n 0.0 0.75
pegasus	n 0.0 0.0
dactiloscopista	n 0.0 0.0
reinicio	n 0.875 0.0
due�o	n 1.0 0.625
paraguayo	n 0.0 0.0
valeriana	n 0.0 0.0
trichys	n 0.0 0.0
elanoides	n 0.0 0.0
rifa	n 0.625 0.0
estreptomicina	n 0.0 0.375
novicio	n 0.375 0.75
teredine	n 0.25 0.25
utilizacion	n 1.125 0.125
represion	n 0.375 1.5
ninfa	n 0.875 0.0
verdete	n 0.0 0.125
anthericum	n 0.0 0.0
milicia	n 0.125 0.125
millon	n 0.125 1.125
repulsa	n 0.0 1.375
logica	n 2.25 0.0
argiope	n 0.0 0.0
orquidea	n 0.0 0.125
esqueje	n 0.25 0.25
heracleum	n 0.0 0.0
extravertido	n 1.625 0.25
zapador	n 0.0 0.0
fecha	n 0.125 0.25
etnografia	n 0.0 0.125
herbacea	n 0.375 0.125
baronet	n 0.75 0.0
cuelgacapas	n 0.125 0.0
ganchillo	n 0.625 0.0
helminto	n 0.0 0.25
off-line	n 0.0 0.0
83	n 0.0 0.0
cualidades	n 0.5 0.5
extenuacion	n 0.5 3.25
macis	n 0.0 0.375
trigal	n 0.0 0.0
welwitschia	n 0.0 0.0
mirabilis	n 0.0 0.0
c	n 0.125 0.0
hipotetica	n 0.0 0.0
actinomicetales	n 0.0 0.375
nepal	n 0.0 0.0
preparador	n 0.0 0.25
tipulidos	n 0.0 0.25
plateado	n 0.0 0.0
irpf	n 0.0 0.0
neurosis	n 0.375 1.5
reproductivo	n 0.0 0.0
zamarra	n 0.0 0.625
cuadra	n 2.0 0.0
nubes	n 0.0 0.0
astracan	n 0.125 0.0
vison	n 0.0 0.125
pirolatria	n 0.25 0.25
teorizante	n 1.125 0.125
endodoncia	n 0.0 0.25
tiempos	n 0.0 0.0
jurisprudencia	n 0.25 0.0
prestaciones	n 1.0 0.5
proselito	n 0.0 0.0
financiero	n 0.75 0.25
injuria	n 1.125 2.25
blaise	n 0.0 0.0
jornalero	n 0.25 0.25
rock	n 0.0 0.5
chocho	n 0.25 1.875
escanciano	n 0.5 0.0
acicula	n 0.125 0.0
chelista	n 0.5 0.125
intercomunicador	n 0.5 0.0
arenas	n 0.0 0.0
movedizas	n 0.0 0.0
marcanciales	n 0.0 0.0
extramatrimonial	n 0.0 0.0
england	n 0.0 0.0
varita	n 0.0 1.125
contemporaneo	n 0.125 0.5
varon	n 0.125 0.0
acuarela	n 0.0 0.25
haplopappus	n 0.0 0.0
anjou	n 0.0 0.0
id	n 0.125 0.0
quebrado	n 0.125 0.25
electroforesis	n 0.375 0.625
arboricultura	n 0.125 0.0
reflector	n 0.125 1.125
laringoscopio	n 0.0 0.375
escogedor	n 0.0 0.625
pe�a	n 0.0 3.25
seductor	n 0.375 0.0
percebe	n 0.625 1.625
encarcelamiento	n 1.0 3.125
tocoginecologo	n 0.0 0.25
fagot	n 0.5 0.25
saurisquios	n 0.0 0.375
controlador	n 0.5 0.0
abdicacion	n 0.0 0.375
punicaceas	n 0.0 0.0
impreso	n 0.0 0.0
solicitud	n 1.75 1.375
meniscium	n 0.0 0.0
retiro	n 1.625 1.75
siux	n 0.0 0.0
protegido	n 0.0 0.25
descapsulador	n 0.0 0.0
tele	n 1.625 0.125
indigencia	n 1.25 2.5
aikido	n 0.125 0.0
aquilea	n 0.125 0.0
triplochiton	n 0.0 0.0
fumariaceas	n 0.0 0.0
gimnasia	n 0.125 0.25
bambalina	n 0.0 0.125
conejillo	n 0.0 0.0
indias	n 0.0 0.0
ciclades	n 0.0 0.0
vulgariedad	n 0.875 2.0
hexagrammos	n 0.0 0.0
cfa	n 0.0 0.0
insercion	n 0.5 0.0
hydrochoerus	n 0.0 0.0
conserveria	n 0.125 0.0
euterios	n 0.0 0.0
trucha	n 0.125 0.0
natal	n 0.0 0.0
arseniato	n 0.0 0.0
homonimo	n 0.375 0.25
secobarbital	n 0.25 1.0
71	n 0.0 0.0
yukon	n 0.0 0.0
oliva	n 0.0 0.0
oropendola	n 0.0 0.0
nocturna	n 0.0 0.0
joyo	n 0.0 0.375
syngonium	n 0.125 0.0
saskatoon	n 0.0 0.125
malpighiaceas	n 0.0 0.0
worcester	n 0.0 0.0
folletista	n 0.0 0.5
saurio	n 0.0 0.125
ecballium	n 0.0 0.0
posdata	n 0.5 0.75
autodeterminacion	n 0.0 0.0
jamelgo	n 0.125 1.75
pedante	n 0.875 0.625
inutil	n 0.5 0.625
citolisis	n 0.0 0.375
inflagaitas	n 0.25 0.875
skin	n 0.0 0.125
shorts	n 0.0 2.375
c/c	n 0.0 0.0
dorico	n 0.0 0.0
esta�o	n 1.375 0.125
mansedumbre	n 0.375 1.125
idiolecto	n 0.0 0.375
diario	n 0.125 0.875
leccion	n 0.125 0.25
violin	n 1.0 0.5
eslava	n 0.0 0.0
verner	n 0.0 0.0
consuelda	n 0.0 0.125
bartolino	n 0.0 0.0
aguti	n 0.0 0.25
relieve	n 0.375 0.5
rociadera	n 0.0 0.0
actuario	n 0.0 0.0
paradero	n 0.125 0.0
gramicidina	n 0.125 0.0
caiman	n 0.0 0.5
sinecura	n 0.125 0.375
culatazo	n 1.125 0.5
ileocolica	n 0.0 0.0
hosquedad	n 0.0 3.875
tejon	n 0.0 0.375
nobelio	n 0.0 0.5
togo	n 0.0 0.0
disconformidad	n 0.0 0.75
talpoides	n 0.0 0.0
infinitivo	n 0.0 0.5
correlato	n 0.25 0.5
viejos	n 0.0 0.0
inmolacion	n 0.0 0.0
pitillo	n 0.25 0.875
artifice	n 2.0 0.625
brebaje	n 0.125 0.125
ejercicio	n 0.625 0.5
piorrea	n 0.0 1.25
principios	n 0.25 0.0
abogado	n 0.625 0.125
subnormal	n 0.0 0.125
brugmansia	n 0.0 0.0
oregon	n 0.75 0.125
bajeza	n 2.375 1.75
trapicheo	n 0.75 1.125
contestatario	n 0.375 1.0
seca	n 0.0 0.5
cobarde	n 0.0 1.25
fotografia	n 0.375 1.0
barometrica	n 0.0 0.0
pedestal	n 0.75 0.5
garceta	n 0.0 0.125
lucida	n 0.0 0.0
frangollon	n 0.5 3.75
holarrhena	n 0.0 0.0
albor	n 1.25 4.25
independencia	n 0.375 0.0
importe	n 1.375 1.625
incitador	n 0.125 2.625
elusion	n 0.0 1.25
enema	n 0.0 0.5
saloma	n 1.0 0.25
culicidos	n 0.0 0.0
nilo-sahariana	n 0.0 0.0
camino	n 0.25 1.375
tadarida	n 0.0 0.0
tilletia	n 0.0 0.0
malestar	n 1.0 5.375
caballerizo	n 0.0 0.0
rey	n 0.125 0.0
monolatria	n 0.125 0.0
ephippiorhynchus	n 0.0 0.0
deuteromicetes	n 0.0 0.0
noveno	n 0.375 0.0
aeromotor	n 0.0 0.0
atabascana	n 0.0 0.0
hexamita	n 0.375 0.0
pinguinus	n 0.125 0.125
galanura	n 2.5 0.75
ininteligibilidad	n 0.375 0.25
receptaculo	n 0.0 1.0
rejilla	n 0.875 1.25
santalaceas	n 0.0 0.0
champa	n 0.75 0.25
copenhagen	n 0.0 0.0
activo	n 0.0 0.0
plymouth	n 0.0 0.0
litoral	n 0.0 0.375
tapirus	n 0.0 0.125
uraloaltaica	n 0.0 0.0
talego	n 0.75 0.25
curling	n 0.125 0.375
corixa	n 0.0 0.0
vientre	n 0.5 0.0
mammut	n 0.0 0.125
desaceleracion	n 0.125 1.5
cafre	n 0.0 1.0
piston	n 0.25 0.125
rhode	n 0.0 0.0
island	n 0.0 0.0
diospyros	n 0.0 0.0
monticulo	n 0.75 0.5
zr	n 1.0 1.0
magnificencia	n 4.0 0.625
incorruptibilidad	n 0.25 0.75
helada	n 0.125 1.25
asilo	n 0.25 1.5
antinomiano	n 0.75 0.0
lingual	n 0.0 0.0
silicio	n 0.0 0.75
afeccion	n 5.75 2.625
espinal	n 0.0 0.0
mitica	n 0.0 0.0
desbaratamiento	n 0.125 1.625
aterrada	n 0.0 0.0
lanza	n 0.0 1.625
sollo	n 0.125 0.25
chancro	n 0.0 0.5
entomophthora	n 0.0 0.125
esmeralda	n 0.125 0.0
campeon	n 0.25 0.0
